qid1,qid2,label
S127384,S131665,1
S114879,S116316,1
S121844,S121415,1
S106644,S116449,0
S119111,S128786,1
S119992,S112179,1
S113326,S122618,0
S132452,S118306,1
S110235,S129126,0
S108452,S109652,0
S120784,S104677,1
S124041,S127405,0
S122457,S131976,1
S118132,S132152,0
S126097,S108198,0
S132893,S105236,1
S123393,S111811,0
S114223,S101586,1
S122233,S102209,1
S125292,S125821,1
S101938,S124424,0
S112390,S131352,0
S126322,S121953,0
S116166,S116403,0
S133410,S129479,0
S100549,S105252,0
S121076,S101521,1
S116985,S124761,0
S125149,S134250,1
S129681,S129040,0
S105496,S128872,1
S102678,S127511,0
S109302,S111384,1
S132514,S128812,0
S100970,S114716,0
S112527,S133367,1
S133881,S126877,0
S127343,S105602,0
S104983,S102927,1
S105976,S114064,1
S123652,S107619,0
S124064,S101719,1
S111979,S108032,0
S112753,S125945,1
S132370,S111325,0
S125625,S126313,1
S100135,S107785,1
S108197,S121977,1
S107093,S130270,0
S113497,S107050,0
S132703,S104858,1
S101111,S110311,1
S116148,S111418,0
S112672,S126168,1
S127406,S100591,1
S104901,S128779,1
S101074,S108685,1
S127435,S131089,1
S126644,S122409,1
S106938,S126921,1
S127730,S103367,1
S123868,S128387,0
S125719,S110321,1
S129217,S120518,0
S114951,S101564,1
S117538,S104714,0
S100899,S110822,0
S114150,S109869,1
S106523,S123193,1
S124714,S107295,0
S103621,S109835,0
S118910,S122112,0
S119510,S113561,0
S132890,S104770,0
S103923,S118820,0
S111754,S128080,0
S127124,S115491,1
S100578,S122121,1
S102295,S107868,1
S108456,S123673,0
S106802,S132536,0
S100772,S110081,0
S103836,S119893,1
S122063,S117879,1
S135180,S129510,0
S104407,S119571,0
S133870,S122679,0
S118429,S124792,0
S105111,S119143,0
S111793,S130961,0
S119931,S118878,1
S104606,S117367,0
S105684,S126902,1
S101462,S117373,1
S102176,S134351,0
S130370,S110465,1
S134270,S115767,0
S127147,S124411,1
S103765,S100661,1
S125649,S105557,1
S117371,S106001,0
S101034,S122768,1
S114005,S107895,1
S122089,S128166,0
S107810,S113485,0
S105010,S114489,0
S109804,S131608,1
S105863,S117787,1
S134988,S124641,0
S110768,S125108,0
S108675,S127626,1
S121931,S118982,1
S123659,S126202,0
S115952,S102170,0
S118162,S107783,1
S115546,S129156,1
S129139,S125331,1
S113624,S113909,1
S107990,S102244,1
S103458,S101119,0
S115128,S126373,1
S124849,S113596,1
S112988,S107099,0
S126891,S116107,1
S106402,S111034,1
S132747,S134907,0
S116547,S130638,0
S113743,S117995,0
S112029,S122608,1
S120078,S126067,0
S106059,S129390,0
S108688,S125656,1
S122645,S114920,1
S130372,S133861,1
S105534,S121555,1
S105523,S129718,1
S106855,S130699,0
S128953,S116272,1
S107054,S130833,0
S109255,S118438,1
S134805,S101093,1
S114649,S121315,0
S105740,S131503,0
S117028,S121201,0
S126445,S133662,1
S108075,S124336,1
S119441,S102649,1
S104840,S115365,1
S130734,S123463,0
S133495,S110914,0
S130203,S132178,0
S127365,S111132,0
S112138,S129538,1
S117698,S108055,0
S116053,S133062,1
S129638,S133179,1
S125975,S101791,0
S126964,S122306,1
S107953,S119197,1
S101877,S115078,0
S101792,S133871,1
S128734,S134955,1
S100357,S122324,1
S120196,S109805,1
S105869,S102009,1
S108427,S118679,1
S121402,S105998,1
S104527,S103850,1
S117156,S122645,0
S118657,S133684,1
S134614,S130394,1
S107917,S111165,0
S128944,S112508,0
S128295,S132983,0
S111450,S107421,0
S126736,S121563,0
S107019,S112299,0
S116045,S117024,0
S131298,S128882,0
S124269,S112189,1
S113165,S134553,0
S111369,S114365,0
S110362,S100438,1
S115415,S107878,1
S113069,S104844,0
S119850,S131224,1
S110551,S125460,1
S101293,S109971,0
S125687,S119768,1
S118452,S102981,1
S128000,S102647,0
S132184,S114430,1
S110882,S111165,1
S108437,S104995,1
S133703,S105237,1
S117301,S112153,1
S116029,S122798,1
S109879,S130812,1
S113459,S100220,1
S120761,S114538,0
S103766,S106380,0
S128786,S127154,0
S111617,S111606,1
S107197,S129456,1
S106901,S111194,0
S122544,S134398,0
S106004,S129366,1
S111332,S104792,1
S126949,S112825,0
S126455,S129229,1
S118096,S124283,1
S125429,S121670,0
S104119,S117000,1
S115437,S134300,0
S100379,S108863,0
S116059,S112571,1
S121090,S110899,1
S105277,S132359,1
S119987,S114257,1
S105335,S123634,1
S124987,S116532,1
S112370,S113919,0
S108673,S103654,0
S113872,S120242,1
S129472,S130966,0
S130784,S122297,1
S102855,S117407,1
S133222,S112375,0
S110414,S104556,0
S122083,S122275,1
S120586,S135078,1
S111321,S100624,0
S128019,S133152,0
S125450,S109641,0
S128098,S100585,1
S125881,S133026,0
S131230,S105146,0
S111423,S103088,0
S106709,S128605,0
S128844,S119926,0
S130311,S130623,1
S110769,S101378,0
S129159,S125665,1
S101871,S116280,0
S130562,S121009,1
S132920,S102131,1
S134500,S113510,1
S128616,S109001,0
S130849,S122927,1
S116532,S122108,0
S119330,S126367,1
S113900,S118583,0
S118880,S128169,1
S113601,S126033,1
S127602,S118989,0
S106055,S102701,1
S106017,S111712,1
S134903,S114119,0
S126322,S121449,1
S113474,S106776,0
S128606,S115941,0
S122641,S109489,0
S119595,S113115,1
S114559,S101507,0
S109470,S128990,0
S129742,S107126,1
S120284,S100888,1
S105872,S107330,0
S101082,S102253,0
S119611,S112503,0
S119280,S119707,1
S132895,S133917,0
S135133,S117160,0
S108581,S106602,1
S119167,S108937,0
S131201,S134653,0
S113331,S120589,0
S116366,S128657,1
S112306,S102004,1
S113498,S103426,0
S109236,S132768,1
S106011,S113405,0
S107500,S110024,1
S125094,S133256,1
S121639,S123995,0
S130200,S128706,1
S105901,S128543,1
S119036,S118187,0
S118809,S121663,0
S124935,S107727,0
S130620,S122582,1
S114724,S106406,1
S102262,S100595,0
S107019,S129020,1
S103903,S131371,0
S117109,S110042,1
S133244,S101239,1
S111929,S116795,0
S115146,S125113,1
S116895,S105154,0
S130252,S123995,1
S126808,S118541,0
S100883,S131431,0
S133781,S114796,1
S113929,S111929,1
S112351,S124729,1
S100387,S112648,1
S101196,S102713,0
S112349,S104258,1
S118993,S100549,1
S129272,S108198,1
S127967,S121368,1
S129982,S118273,0
S116730,S104268,0
S105162,S127838,0
S106892,S116082,0
S117122,S100193,0
S100437,S129872,1
S123612,S125543,1
S103877,S121453,1
S133829,S109366,0
S106339,S113807,0
S109997,S111550,1
S128129,S122931,1
S113253,S116535,0
S100237,S117472,1
S130995,S100752,0
S111776,S107616,1
S109820,S118775,0
S101069,S113823,1
S106941,S107162,1
S101203,S116678,1
S133839,S126872,0
S115197,S103462,1
S128295,S111558,1
S131348,S108499,0
S127112,S125454,0
S102094,S107118,0
S118163,S116881,1
S131138,S124928,0
S119437,S121410,1
S132301,S128970,0
S118897,S129118,0
S119225,S108703,0
S127230,S134222,1
S111477,S109137,1
S121813,S132531,1
S133405,S108215,0
S129798,S101688,1
S104362,S117029,1
S111952,S116979,1
S134647,S121089,1
S130702,S102421,0
S121745,S119222,0
S126377,S123526,1
S101725,S119136,1
S124969,S114927,0
S132399,S127739,0
S120823,S120283,0
S108185,S106856,0
S133881,S113885,0
S106751,S103140,0
S122650,S114159,0
S127415,S130605,1
S120849,S126052,1
S131067,S127503,1
S120007,S134997,0
S131854,S110606,1
S122167,S124182,1
S106454,S110685,0
S123394,S115355,0
S101370,S130301,1
S114990,S103295,1
S113281,S127428,1
S124451,S110145,1
S126889,S124151,1
S130059,S128309,1
S121259,S131664,1
S122210,S121502,1
S129771,S128073,1
S118090,S121042,0
S101638,S115045,0
S109507,S106183,1
S115534,S118514,1
S102586,S111241,1
S122254,S134524,0
S115427,S133272,1
S105748,S128589,1
S128470,S128586,1
S129023,S110103,0
S135011,S116761,1
S103595,S123496,1
S101363,S134535,1
S133404,S101092,1
S124922,S121556,0
S105753,S118897,0
S118252,S103319,0
S120012,S120722,1
S127342,S122941,1
S112143,S116773,1
S130616,S116788,1
S122867,S123445,1
S126044,S102784,1
S100911,S117388,1
S104873,S117870,0
S127333,S117585,0
S134340,S122226,0
S117348,S104537,0
S124964,S100551,1
S116308,S102173,0
S124296,S130979,1
S100931,S113689,0
S132124,S105053,0
S100742,S134822,1
S129806,S100117,1
S120924,S107599,1
S111895,S116964,0
S120178,S107798,1
S102252,S116457,0
S101158,S104023,0
S118082,S131461,0
S126555,S113818,1
S109056,S105460,0
S112569,S130778,0
S106532,S122548,1
S129167,S126617,0
S129642,S111121,0
S130930,S111591,1
S102580,S125691,0
S119034,S115353,1
S102882,S123582,1
S116442,S132029,0
S107844,S121157,0
S122850,S105382,1
S106661,S116010,0
S104603,S105111,1
S119827,S119380,1
S111980,S108775,0
S122313,S125931,0
S108218,S106034,1
S131506,S128084,0
S128872,S133221,1
S129927,S103448,0
S132363,S124174,0
S107204,S112522,0
S133678,S126978,0
S109746,S117316,0
S115297,S121765,1
S125642,S112195,0
S103856,S114162,1
S100656,S134673,0
S130410,S105097,0
S122444,S108879,1
S126750,S132280,1
S127430,S102370,0
S110599,S116364,1
S133142,S103041,0
S106512,S131144,0
S117939,S133723,1
S116845,S119298,0
S116342,S125567,1
S103855,S133841,1
S102284,S128376,1
S107851,S133060,0
S110925,S100351,0
S106333,S109432,0
S118156,S111489,1
S101138,S103318,0
S116345,S104091,0
S128690,S102785,1
S108933,S123818,0
S118873,S108677,1
S129889,S117897,1
S129121,S101908,1
S115246,S111277,1
S105725,S134630,1
S112571,S127068,0
S108997,S104949,1
S102052,S111948,0
S101578,S130166,0
S105752,S116569,0
S130621,S133101,1
S111506,S100639,0
S130606,S132910,0
S111333,S112885,0
S127045,S109338,1
S111753,S110714,1
S115069,S101432,1
S109090,S115011,1
S122089,S118071,1
S115171,S108153,0
S113036,S120511,1
S107637,S128223,1
S102920,S103389,1
S120871,S107374,1
S115731,S127480,0
S103182,S109646,1
S102673,S134092,1
S120022,S102513,1
S113630,S110652,1
S116833,S132107,0
S106477,S114494,0
S100760,S102654,0
S116631,S128780,0
S116728,S117269,1
S123163,S131249,0
S110990,S124438,1
S126434,S118736,1
S127185,S128191,0
S128625,S129841,1
S125018,S108919,0
S125036,S117268,0
S120181,S115853,1
S124844,S106213,0
S112066,S102541,1
S113470,S123370,1
S133316,S104569,0
S115375,S104248,1
S133630,S113375,1
S131784,S125569,1
S128127,S124448,0
S121879,S131427,0
S110243,S100195,1
S118899,S106621,1
S125654,S130243,1
S110509,S132582,0
S121064,S130960,0
S113610,S102428,0
S118999,S113529,1
S118835,S123788,1
S125912,S132245,1
S121060,S108692,1
S113103,S114532,0
S100948,S100686,0
S113905,S127814,0
S100540,S133646,0
S114647,S109548,1
S109999,S130813,1
S119033,S114834,1
S116749,S134569,0
S104155,S100105,1
S113315,S115306,0
S130919,S112310,1
S111759,S104948,1
S123403,S118593,1
S132200,S101968,0
S100924,S126841,0
S123236,S127144,0
S117214,S128218,0
S132679,S121999,0
S113589,S124508,1
S118515,S114220,1
S109075,S110121,0
S103324,S100963,1
S120784,S122084,0
S130779,S118552,1
S114561,S133415,1
S103018,S121897,1
S124575,S107582,0
S107909,S104000,0
S130232,S103679,1
S104400,S124046,0
S104250,S125569,0
S123349,S117264,0
S122220,S109455,0
S106336,S131456,0
S132125,S107195,0
S123411,S124640,0
S113960,S117433,0
S133774,S104803,1
S129150,S112828,1
S118839,S110269,0
S134859,S130719,0
S105849,S126327,1
S128301,S118135,1
S104699,S100557,1
S121584,S116517,1
S109257,S124745,0
S106053,S117293,1
S107108,S115782,0
S120930,S110213,0
S100053,S128815,0
S135198,S129308,0
S101840,S119946,1
S133791,S100847,1
S103013,S127639,0
S105905,S122104,1
S129232,S103130,1
S119458,S111620,0
S125994,S115785,0
S114348,S121950,1
S134816,S133353,0
S117000,S135162,0
S105367,S113673,1
S108486,S131928,1
S107329,S121892,1
S108558,S122017,0
S117911,S114955,0
S117549,S134860,1
S117464,S133646,0
S115343,S114115,1
S104932,S129676,1
S106152,S106466,0
S122571,S106204,0
S107848,S115913,0
S105503,S108864,1
S130494,S129497,0
S102799,S118932,1
S131962,S107775,0
S105972,S132264,1
S128557,S126110,1
S108183,S118209,0
S110101,S106427,1
S103903,S108207,1
S121357,S102551,0
S118795,S100774,1
S134282,S102084,1
S125753,S116487,1
S119710,S130652,1
S132742,S107325,0
S106551,S112180,1
S121607,S100357,0
S132588,S113109,1
S110209,S131192,0
S109590,S107766,0
S110001,S130774,1
S101354,S105971,0
S128456,S101036,0
S133409,S104549,0
S130310,S116810,1
S115651,S115174,0
S125788,S126518,1
S125825,S102827,1
S107508,S104050,1
S131926,S102400,1
S100798,S127162,1
S109674,S110024,0
S104787,S128398,0
S124575,S100396,1
S106493,S121601,0
S124449,S104993,1
S132230,S124715,0
S117828,S125574,0
S109098,S131152,0
S123418,S128187,0
S133717,S108568,1
S111943,S113419,0
S118698,S105551,0
S122893,S125322,0
S105054,S103742,0
S132338,S111528,1
S122289,S128464,1
S132134,S101399,0
S118163,S115058,0
S116075,S110224,0
S122252,S122769,1
S104456,S125929,0
S129667,S123824,1
S126165,S134914,1
S107196,S115602,0
S117819,S106917,1
S125801,S125470,1
S108191,S112600,1
S102420,S128286,0
S121428,S128593,1
S131477,S112118,0
S124066,S104113,1
S111530,S102867,1
S118836,S131828,0
S113435,S105750,1
S128045,S134238,0
S135250,S130813,0
S131898,S119785,1
S123621,S112084,0
S106491,S132812,1
S112986,S104252,1
S127796,S110275,1
S108739,S127818,1
S112176,S131855,0
S112959,S131924,0
S109314,S133856,1
S132596,S120453,0
S116115,S119713,1
S110886,S125192,1
S104685,S115646,0
S103740,S122799,1
S116639,S101985,0
S107006,S110473,0
S122767,S104706,1
S101710,S134755,1
S134346,S115875,1
S124693,S129912,1
S104980,S129717,1
S110972,S107286,1
S115208,S129030,0
S100054,S101430,1
S108153,S134435,1
S106289,S104654,1
S111173,S122337,0
S111477,S125239,0
S113350,S104182,1
S134120,S123018,0
S124509,S108560,0
S122266,S117224,0
S102672,S129010,0
S123000,S115502,0
S124285,S105098,0
S106589,S129649,0
S124942,S108985,0
S125124,S101648,0
S115437,S109178,1
S104130,S100564,0
S115127,S129073,1
S118215,S110749,1
S101503,S113538,1
S105550,S102832,0
S112198,S114497,0
S111944,S118182,1
S124646,S120138,1
S109787,S111263,1
S108850,S101036,0
S131981,S125917,0
S100362,S111064,1
S118452,S117009,0
S132688,S118393,1
S112783,S102433,1
S114846,S108597,0
S123982,S100008,1
S128508,S102480,1
S107026,S108372,1
S116763,S113130,1
S130154,S134007,0
S118475,S117603,0
S106197,S118819,0
S108127,S124302,1
S103088,S105466,1
S107876,S114300,1
S113113,S135032,1
S104185,S119164,1
S113956,S126900,1
S110400,S119147,1
S120955,S124620,0
S130906,S100265,1
S103442,S118157,1
S128214,S119978,1
S116228,S100928,1
S133028,S102891,0
S104082,S116138,0
S113019,S104779,1
S115590,S109041,0
S108027,S115021,1
S131865,S107330,1
S124392,S113356,1
S128545,S134022,1
S112610,S117456,0
S130510,S103982,0
S101709,S114098,1
S100862,S123241,0
S110966,S122047,1
S123783,S121404,0
S101915,S119924,1
S107168,S123925,0
S124776,S130391,1
S113757,S107027,1
S131686,S117108,0
S119828,S106595,1
S121111,S126913,0
S103540,S105323,0
S121326,S107624,0
S113832,S109833,0
S119396,S128510,1
S127011,S109457,0
S134607,S106588,1
S115842,S126710,0
S123615,S111758,1
S112937,S121159,0
S133545,S115814,0
S120365,S118117,1
S105744,S124074,1
S116462,S129393,1
S100527,S113383,1
S127708,S117512,1
S133550,S134312,0
S101503,S134435,0
S115297,S115333,0
S110120,S120800,0
S125132,S115782,1
S120614,S114781,1
S115449,S132949,1
S128973,S119190,0
S102263,S106728,1
S124420,S127858,1
S117524,S129455,0
S114694,S104312,0
S113683,S135090,0
S127758,S108584,0
S130029,S116999,0
S106684,S131937,0
S108887,S107961,0
S102120,S123133,1
S119392,S121044,1
S131031,S133385,0
S127837,S110199,0
S131068,S131738,1
S105660,S118539,1
S112347,S109624,1
S103399,S107533,0
S102487,S104318,0
S124229,S113704,1
S127708,S102770,0
S127384,S132134,0
S125315,S121361,1
S100438,S131022,0
S109873,S107327,0
S125820,S123705,1
S120817,S127090,1
S133908,S135064,0
S117462,S111986,0
S117119,S106139,1
S120833,S118606,0
S130788,S104652,0
S105157,S128405,1
S115439,S103418,0
S117847,S114536,0
S107145,S114967,0
S110926,S116249,1
S100757,S103219,1
S112710,S114490,0
S120713,S125677,1
S126881,S108651,1
S103095,S108708,1
S113227,S119437,0
S107714,S131015,0
S122589,S107797,0
S129137,S107510,1
S117521,S114524,1
S110053,S127886,1
S107138,S126060,0
S129648,S131805,0
S123216,S107109,1
S114002,S121522,1
S122307,S111624,0
S113577,S132007,1
S134224,S110367,0
S126828,S106614,0
S132314,S124458,0
S127045,S102862,0
S113438,S127180,1
S108983,S109103,0
S129493,S105485,1
S111423,S131020,0
S113447,S105520,0
S107406,S127152,1
S113050,S108905,0
S123733,S120900,0
S129832,S129038,1
S110921,S123858,0
S119989,S103038,1
S125721,S129074,1
S124991,S133352,1
S112845,S117871,1
S116263,S100606,1
S125731,S108804,1
S131494,S133385,1
S133771,S119559,0
S126499,S115566,1
S114105,S116587,1
S111742,S104752,0
S108055,S110479,1
S106871,S131259,0
S121734,S126178,1
S122018,S128247,0
S103661,S124541,1
S112935,S104129,1
S126434,S119431,1
S103743,S107895,1
S131629,S106950,1
S123164,S120576,0
S114591,S122658,1
S124763,S115716,1
S100816,S115789,1
S116602,S127550,1
S110311,S105265,1
S102556,S120771,0
S113836,S112309,0
S125540,S127731,0
S121986,S117134,0
S120179,S124286,1
S102115,S132409,0
S123900,S124367,0
S130989,S115264,1
S126082,S101628,0
S102501,S117645,1
S123384,S132220,1
S115964,S100475,0
S111420,S123839,1
S118305,S130423,0
S101383,S111219,0
S105803,S128434,1
S113690,S130282,0
S120325,S129587,1
S104764,S105909,0
S128314,S119477,0
S128713,S113602,0
S127878,S124359,0
S134504,S126371,1
S129025,S120654,1
S109626,S126325,0
S127701,S131819,0
S135080,S124243,0
S100353,S105779,1
S128820,S128974,0
S132329,S132361,1
S132309,S118208,1
S131178,S104739,0
S127532,S126966,1
S125324,S135000,0
S126478,S100130,0
S108059,S112383,1
S120520,S104746,1
S103989,S127787,0
S127582,S110862,1
S131952,S102797,0
S114616,S131824,1
S110255,S114338,1
S118656,S101346,0
S117892,S106514,0
S100016,S120816,1
S115389,S105499,0
S129804,S108618,0
S100362,S126295,1
S120111,S123662,0
S126548,S119566,1
S119462,S128190,0
S109479,S115584,0
S105110,S131021,1
S120191,S118058,1
S121248,S100672,0
S129774,S103836,0
S120515,S105057,1
S103413,S115694,0
S116961,S121849,0
S120267,S132806,0
S114319,S121489,1
S124856,S106189,0
S112646,S115489,0
S104422,S112099,1
S123297,S130422,1
S128086,S117412,1
S123231,S110428,1
S101257,S102029,0
S128729,S116453,0
S119157,S108148,1
S119218,S112836,0
S102985,S107630,1
S105720,S116928,0
S120151,S109390,1
S129755,S100735,0
S106865,S116399,0
S123446,S104058,1
S105665,S110258,1
S117776,S132068,1
S102305,S130347,0
S114727,S106062,1
S123884,S108018,0
S120019,S104588,0
S127287,S115615,0
S132312,S127430,0
S133766,S104123,0
S104564,S107008,1
S109971,S111783,0
S108232,S135002,1
S123048,S135181,1
S130446,S109056,1
S111803,S121653,0
S125558,S102639,0
S134942,S108057,0
S119854,S120970,0
S115107,S114549,1
S126105,S130192,0
S132644,S122577,1
S107902,S130759,0
S107050,S109130,0
S125661,S107174,1
S111443,S123473,1
S119336,S103535,1
S123234,S124361,1
S128289,S114035,1
S111802,S107866,1
S108270,S133798,0
S132518,S122594,1
S117630,S126866,0
S115081,S108565,1
S113973,S108710,0
S110219,S121175,1
S109995,S100079,1
S108673,S124331,0
S128074,S103197,0
S120732,S130381,0
S121614,S130009,0
S133982,S131434,1
S103725,S107367,1
S118545,S119054,0
S104563,S115809,1
S122415,S128752,0
S129776,S119485,1
S117500,S116111,1
S132403,S108138,0
S106433,S111402,0
S106533,S103970,0
S120532,S126661,1
S126792,S113930,1
S125182,S110408,0
S130517,S129740,1
S101280,S115629,1
S103329,S103462,0
S130163,S128240,1
S105806,S101115,1
S125663,S113225,0
S130554,S125608,1
S122720,S123590,0
S112570,S121428,0
S116590,S126883,0
S110718,S105156,0
S135152,S130736,1
S117367,S108779,1
S100561,S125069,0
S129494,S100540,1
S106638,S122277,1
S109498,S102102,0
S130467,S120420,0
S131088,S119392,0
S128954,S116510,1
S118230,S102278,0
S131005,S134699,1
S100351,S103813,1
S114449,S118135,0
S133996,S115805,0
S119373,S112019,1
S131863,S116994,1
S107338,S102383,1
S115572,S107609,1
S113316,S101685,0
S104717,S115376,0
S117062,S127356,0
S131091,S105657,0
S106467,S113534,0
S107231,S118825,0
S123762,S126145,0
S107089,S121814,1
S133018,S113480,1
S121181,S124788,1
S115557,S102355,1
S128943,S120333,0
S130387,S128130,0
S122375,S132750,0
S132988,S110706,1
S122981,S126477,1
S110867,S102975,1
S124182,S133670,0
S114880,S123638,1
S101643,S134330,0
S131741,S125795,1
S114551,S103106,0
S132286,S127307,1
S121185,S110229,0
S119467,S124809,1
S105443,S132052,1
S115400,S104399,0
S119937,S129404,1
S128885,S113815,0
S103990,S130291,1
S109466,S108624,1
S126737,S119329,0
S107257,S108292,1
S110405,S115389,1
S133032,S108673,1
S116831,S107919,1
S131572,S133170,1
S123936,S101082,1
S100117,S120987,0
S111495,S103669,1
S135168,S127764,1
S107018,S114986,1
S121983,S112807,0
S101227,S109882,0
S124592,S102996,0
S119294,S133071,0
S114170,S104526,1
S128112,S101160,1
S133581,S110024,0
S121083,S134984,0
S126552,S104443,0
S104883,S108889,1
S118878,S117823,1
S133991,S113788,0
S108189,S128739,0
S119459,S124199,0
S114899,S102896,0
S132733,S120192,1
S121281,S120416,0
S115317,S115256,0
S115318,S108060,0
S110724,S115732,0
S111272,S107586,0
S101421,S116424,0
S113603,S122454,0
S125848,S133346,1
S131202,S110505,0
S108054,S102797,1
S135209,S131133,1
S131338,S116553,0
S118454,S134148,0
S120841,S123163,1
S123477,S122729,0
S107994,S108354,1
S100542,S111673,1
S133144,S111184,1
S111097,S118944,1
S126914,S103738,1
S126281,S131989,0
S104551,S120081,1
S100310,S112860,1
S118353,S128104,0
S100938,S105554,0
S103593,S116679,0
S121918,S112233,0
S130603,S104689,0
S116640,S132077,1
S104283,S105408,1
S109252,S106184,1
S103482,S116092,1
S126098,S111738,0
S109081,S115495,1
S114801,S107384,0
S105462,S122872,1
S118723,S134654,1
S127783,S128608,1
S129275,S127086,0
S119092,S118160,0
S114315,S133908,1
S101288,S133183,1
S108202,S125523,0
S114991,S109879,1
S115347,S107845,1
S110829,S131639,0
S132451,S120017,0
S121470,S110595,1
S126623,S132699,1
S125860,S134076,1
S111234,S128971,1
S102624,S130001,0
S111797,S117357,0
S105252,S123452,1
S109276,S108596,0
S127743,S113867,0
S119195,S123505,0
S125534,S101682,0
S100658,S114068,0
S104022,S103667,1
S114433,S126259,0
S121659,S119512,1
S114847,S115397,1
S134856,S129272,0
S107765,S120314,0
S125260,S121774,0
S129592,S133259,1
S134675,S111675,1
S114789,S101625,1
S116951,S104653,1
S128524,S107697,1
S116253,S118315,0
S124592,S124220,1
S126482,S106987,0
S129577,S120083,1
S113613,S124730,0
S127067,S103136,1
S128820,S123498,0
S123114,S116427,0
S109570,S113714,1
S108532,S114569,0
S115234,S115488,0
S101761,S103834,1
S121697,S102952,0
S131040,S121555,0
S126426,S113353,1
S117070,S105664,0
S127133,S129015,0
S125596,S115987,0
S123347,S101318,0
S109823,S127906,0
S113712,S106893,0
S108672,S101959,0
S130542,S110048,1
S113867,S134382,0
S128990,S129205,1
S103521,S110547,0
S116945,S106223,1
S114291,S111678,0
S102435,S117394,0
S126543,S124024,1
S134778,S107076,0
S116480,S128964,1
S111532,S113617,0
S101314,S105736,0
S127755,S116075,0
S108094,S131307,1
S108245,S123257,0
S118261,S105557,0
S119225,S132674,0
S115491,S134788,0
S123907,S119058,0
S128251,S116347,0
S124627,S104652,0
S100784,S131051,1
S121741,S117693,1
S100574,S133607,1
S126122,S114764,0
S117558,S129462,1
S103259,S134082,0
S104644,S106094,0
S100604,S125065,0
S102898,S130157,1
S109652,S115949,0
S112768,S103340,1
S108069,S126953,0
S114897,S115038,1
S113513,S122034,0
S132095,S109338,0
S133340,S124496,1
S109071,S106972,1
S110671,S124389,0
S118685,S122774,0
S129396,S119239,1
S100875,S107590,0
S119968,S129727,1
S114277,S126743,1
S100729,S119736,0
S113398,S118049,0
S127083,S110756,1
S135221,S121435,1
S112910,S110576,1
S121990,S126923,1
S101569,S101353,1
S103430,S111782,1
S102034,S114794,1
S100842,S111494,1
S127178,S123064,1
S115035,S115933,0
S130376,S130302,1
S127989,S124923,1
S103657,S129350,1
S115225,S113214,1
S125669,S121662,0
S108450,S123157,0
S107285,S131869,0
S120323,S124757,1
S124059,S131871,0
S104687,S121892,0
S110085,S130692,1
S108610,S127694,0
S130666,S105391,1
S123570,S110350,1
S106434,S101011,1
S104495,S133258,0
S115153,S124433,1
S114572,S128900,1
S113620,S133005,1
S127616,S109264,1
S118946,S104850,1
S130202,S130750,0
S106414,S107901,0
S118124,S128045,0
S117361,S131985,0
S103873,S121348,1
S125560,S119821,1
S109735,S134695,0
S125729,S131517,0
S109144,S131442,0
S134560,S120078,1
S127091,S135201,1
S126826,S115745,1
